"","S1","S2","S3","S4","S5","S6","S8","S9"
"1700022N22Rik",38,26,22,24,14,10,18,6
"1700023B13Rik",372,198,167,304,314,227,284,53
"1700023F06Rik",3,0,0,1,0,2,5,0
"1700023H06Rik",102,82,42,74,43,106,188,60
"1700025G04Rik",1340,960,789,611,546,429,395,488
"1700025N21Rik",58,46,18,45,6,34,61,5
"1700025N23Rik",43,34,2,17,17,19,43,5
"1700026F02Rik",6,4,2,2,4,0,6,0
"1700027A07Rik",255,183,106,137,109,152,153,72
"1700027J07Rik",14,18,9,8,3,30,56,1
"1700028E10Rik",14,16,9,31,25,30,23,16
"1700028I16Rik",2,0,0,1,3,0,5,1
"1700028J19Rik",27,19,6,18,8,11,12,14
"1700028K03Rik",9,16,10,10,4,12,7,11
"1700028N14Rik",16,29,4,22,4,14,38,3
"1700029H14Rik",10,10,6,8,5,12,15,0
"1700029I15Rik",17,14,14,23,8,16,19,7
"1700029J07Rik",19,9,4,4,8,1,15,0
"1700029N11Rik",33,38,7,26,11,45,32,7
"1700030C10Rik",31,19,10,20,14,1,21,14
"1700030C12Rik",20,9,7,9,8,9,5,6
"1700030E10Rik",5,3,0,0,0,2,4,2
"1700030F04Rik",8,12,8,8,12,9,15,5
"1700030J22Rik",66,48,35,26,36,23,34,34
"1700030K09Rik",524,450,311,365,274,285,282,235
"1700034H15Rik",26,4,21,16,33,12,22,8
"1700034I23Rik",6,0,4,6,1,6,4,2
"1700034P13Rik",34,26,22,31,54,21,47,12
"1700037C18Rik",1121,808,593,544,526,792,631,584
"1700037H04Rik",1046,623,525,550,412,528,513,467
"1700040D17Rik",3,0,0,2,0,1,3,4
"1700040L08Rik",102,92,78,78,76,62,98,54
"1700041G16Rik",4,7,7,7,8,7,4,9
"1700047A11Rik",6,14,8,4,11,19,17,10
"1700047G03Rik",0,7,0,0,0,6,7,0
"1700047I17Rik2",1648,993,874,1105,565,811,535,567
"1700047M11Rik",2,13,0,12,4,5,18,1
"1700048O20Rik",1,5,1,2,4,0,2,3
"1700049E15Rik",0,17,6,8,5,10,9,0
"1700051K13Rik",9,1,0,6,0,10,8,3
"1700051O22Rik",4,7,8,10,4,10,6,0
"1700052K11Rik",100,131,96,100,58,78,85,84
"1700054A03Rik",0,8,1,0,0,0,6,0
"1700055D18Rik",22,4,16,9,12,17,16,15
"1700056E22Rik",26,36,8,17,21,21,32,12
"1700056N10Rik",43,50,8,28,23,43,48,9
"1700058P15Rik",195,217,68,164,142,240,434,78
"1700060J05Rik",21,15,24,16,23,21,10,10
"1700061A03Rik",0,0,3,0,3,2,3,2
"1700061G19Rik",49,14,19,15,16,41,23,18
"1700061H18Rik",8,4,4,5,6,3,4,2
"1700063J08Rik",0,0,2,4,2,5,8,8
"1700064M15Rik",3,0,3,6,0,5,13,3
"1700065D16Rik",1,0,4,6,3,2,6,0
"1700066B17Rik",0,0,0,8,10,29,16,0
"1700066B19Rik",26,18,10,12,10,0,8,0
"1700066M21Rik",244,144,162,138,149,134,179,142
"1700067K01Rik",9,11,0,0,3,0,3,2
"1700071M16Rik",957,1036,762,786,1412,976,1402,476
"1700072G22Rik",0,0,0,3,3,4,0,0
"1700081N11Rik",7,2,2,10,4,2,5,0
"1700084C06Rik",42,29,42,35,48,44,40,11
"1700084E18Rik",8,2,8,6,6,10,13,2
"1700084J12Rik",15,11,6,6,1,11,13,10
"1700086O06Rik",55,15,19,9,12,10,12,14
"1700086P04Rik",4,5,4,0,2,8,5,14
"1700087I21Rik",11,3,0,5,1,10,6,2
"1700087M22Rik",1,6,7,4,4,2,2,2
"1700088E04Rik",293,257,174,248,160,205,192,80
"1700092M07Rik",6,0,2,1,0,4,6,0
"1700094J05Rik",37,38,16,24,16,44,34,10
"1700095J12Rik",0,0,0,4,1,3,0,5
"1700095K22Rik",5,7,0,0,0,0,1,0
"1700096K18Rik",106,45,43,42,51,74,70,83
"1700099I09Rik",0,2,2,1,4,2,5,0
"1700101I11Rik",102,66,74,97,72,33,78,26
"1700102H20Rik",3,3,3,3,0,2,3,5
"1700102P08Rik",20,34,15,12,16,17,21,2
"1700105P06Rik",24,23,21,16,14,4,10,6
"1700109G14Rik",2,10,5,4,1,18,5,0
"1700109H08Rik",102,63,54,68,50,114,126,33
"1700110C19Rik",2,5,1,0,1,10,5,0
