"","S1","S2","S3","S4","S5","S6","S8","S9"
"Enthd1",4,11,5,4,0,6,7,0
"Entpd1",9079,7368,5394,6760,6284,4974,5953,4395
"Entpd2",12,29,66,30,47,4,30,12
"Entpd3",3208,4359,688,1877,1150,3205,2177,878
"Entpd4",268,236,279,258,182,234,229,144
"Entpd4b",281,246,287,266,190,240,235,150
"Entpd5",925,763,635,653,517,654,503,421
"Entpd6",770,605,450,444,422,416,498,288
"Entpd7",1480,908,732,690,543,732,598,444
"Entr1",2858,2178,1322,1612,1224,1843,1862,677
"Eny2",1555,1208,828,777,609,878,872,609
"Eogt",956,735,545,470,588,486,521,568
"Eomes",5,59,17,14,104,2,14,26
"Ep300",3893,4114,2694,2781,3946,3876,3316,1977
"Ep400",3328,3124,2114,2130,2558,2219,2506,1164
"Epas1",298,194,420,351,197,341,302,254
"Epb41",3779,3376,2904,2816,2924,2485,2372,1622
"Epb41l1",1091,957,1059,914,693,812,803,810
"Epb41l2",7846,6466,5405,5950,4113,4516,4048,3323
"Epb41l3",191,120,124,88,41,74,81,57
"Epb41l4a",67,43,45,62,41,22,45,31
"Epb41l4aos",302,204,165,162,185,217,240,141
"Epb41l4b",63,56,103,77,45,38,86,41
"Epb41l5",37,28,30,33,45,19,43,11
"Epc1",1746,1450,944,977,932,1376,1330,716
"Epc2",1801,1566,995,1015,1012,1368,1272,672
"Epcam",481,244,336,270,172,75,146,75
"Epdr1",38,15,45,39,27,2,17,17
"Epg5",880,705,609,539,710,625,688,375
"Epgn",7,6,0,7,0,0,2,1
"Epha1",216,222,117,147,126,175,197,122
"Epha2",487,237,493,635,476,129,282,157
"Epha3",51,33,53,55,30,8,48,12
"Epha4",38,23,41,36,42,2,16,18
"Epha7",5,6,20,6,7,0,6,2
"Ephb1",7,4,7,10,3,0,1,0
"Ephb2",88,72,119,60,58,29,47,35
"Ephb3",31,27,43,53,19,4,18,4
"Ephb4",169,104,174,200,111,37,112,62
"Ephb6",27,11,47,15,9,8,34,12
"Ephx1",310,170,288,250,362,254,158,234
"Ephx2",48,39,43,44,35,7,35,16
"Ephx3",11,3,14,2,4,6,5,0
"Ephx4",0,3,1,3,0,0,6,0
"Epm2a",167,84,83,94,98,98,60,39
"Epm2aip1",615,404,305,236,315,506,517,322
"Epn1",10251,8228,6692,6334,5652,6039,5891,4957
"Epn2",176,176,198,216,189,38,150,64
"Epn3",26,5,37,39,32,13,16,6
"Epo",120,78,102,76,82,66,64,32
"Epop",371,114,146,131,83,67,50,98
"Epor",22,23,46,18,6,33,19,33
"Eppk1",7,7,15,12,22,0,3,15
"Eprs",5184,3384,3007,3033,2499,2655,3110,1771
"Eps15",6606,4850,5146,4370,3613,5543,4930,4516
"Eps15l1",3254,2176,1855,1849,1624,1974,1913,1175
"Eps8",6003,4650,4406,3853,3606,3558,3335,3056
"Eps8l1",49,356,160,154,14,498,224,82
"Eps8l2",44,42,72,38,34,8,26,12
"Eps8l3",12,20,30,16,17,5,11,4
"Epsti1",6698,6795,4246,3876,4060,3074,3197,3092
"Epx",10,9,3,10,5,26,22,14
"Eqtn",9,4,4,5,5,3,5,0
"Eral1",872,658,502,517,392,438,425,379
"Erap1",5284,4249,3422,2800,3724,2845,2812,2570
"Erbb2",40,70,66,67,51,26,49,34
"Erbb3",189,213,196,149,120,81,100,85
"Erbb4",2,0,0,2,4,0,0,4
"Erbin",4590,4595,3193,3088,3969,3478,3923,2292
"Erc1",268,233,196,286,206,189,195,110
"Erc2",14,0,9,13,8,22,6,1
"Ercc1",648,477,362,466,268,418,371,136
"Ercc2",648,386,380,290,297,239,293,178
"Ercc3",2156,1424,1225,1339,1057,1136,1147,774
"Ercc4",550,486,406,394,398,342,357,250
"Ercc5",530,461,410,303,350,399,305,236
"Ercc6",663,494,316,352,289,521,609,178
"Ercc6l",253,305,197,180,173,166,178,162
"Ercc6l2",546,405,409,338,348,373,366,243
"Ercc8",344,199,166,163,131,105,146,98
"Ereg",51,27,63,98,66,68,116,42
"Erf",1260,956,858,980,850,663,816,580
"Erfe",24,8,6,19,18,8,5,8
"Erg",79,61,57,74,23,39,68,14
"Erg28",1424,881,770,594,548,712,680,716
"Ergic1",3944,2571,2458,2896,1628,1896,1782,1622
"Ergic2",3072,2385,1446,1660,1312,2272,1988,1108
"Ergic3",4494,3296,2869,2807,2119,2261,2409,2001
"Erh",2633,1754,1282,1203,745,1007,1068,726
"Eri1",3016,2004,1692,1566,1522,1744,1520,1266
"Eri2",227,169,143,114,121,124,136,84
"Eri3",1042,795,666,672,492,559,584,466
"Erich1",385,282,157,147,137,308,207,134
"Erich2",0,0,0,2,5,5,0,0
"Erich3",0,0,0,5,4,0,2,7
"Erich5",0,7,5,0,5,4,0,0
"Erich6",0,9,0,1,5,3,0,5
"Erlec1",1335,1159,976,807,829,897,886,792
"Erlin1",2621,1961,1562,1549,1278,1162,1428,889
"Erlin2",3244,2000,1987,1819,1488,1679,1546,1249
"Ermap",101,56,32,41,37,29,26,48
"Ermard",526,573,456,342,302,535,549,306
"Ermp1",2465,1554,1399,1340,1219,1097,1104,1026
"Ern1",2125,1639,1297,1476,1444,1314,1226,705
"Ern2",0,0,4,0,0,3,5,0
"Ero1l",7067,3940,3177,6244,7138,8386,7810,3028
"Ero1lb",2407,1743,1333,1286,1311,1192,1080,847
"Erp27",47,88,110,42,74,32,65,55
"Erp29",15784,12105,8855,7462,6754,8068,8595,5413
"Erp44",6939,4406,3557,3298,2941,3437,3398,2613
"Errfi1",2354,1239,1351,2154,1420,1686,1789,703
"Esam",181,128,138,169,87,34,76,51
"Esco1",1438,1178,732,810,903,1325,1030,640
"Esco2",216,128,98,68,77,126,121,85
"Esd",7348,4624,3746,5598,3013,3429,3544,2406
"Esd-ps",233,155,118,184,98,110,100,75
"Esf1",1473,1265,795,825,569,1055,898,566
"Esm1",59,71,58,165,38,32,52,30
"Espl1",547,641,534,383,593,341,488,332
"Espn",123,84,72,40,77,75,54,53
"Esr1",403,266,274,200,300,198,223,180
"Esrp1",4,42,38,19,31,4,7,14
"Esrp2",188,128,134,134,104,94,108,60
"Esrra",1903,1642,1007,1096,961,1052,1466,644
"Ess2",798,639,497,474,436,506,542,298
"Esyt1",6954,5434,5452,4462,5013,2920,4170,2680
"Esyt2",2947,1958,1736,1695,1750,1880,2030,1221
"Esyt3",11,12,2,2,0,4,0,1
"Etaa1",244,216,208,125,139,162,118,168
"Etaa1os",14,0,12,5,8,17,3,4
"Etf1",12778,8603,6509,7486,6587,9507,10112,5326
"Etfa",3430,2130,1970,1789,1349,1524,1628,1424
"Etfb",2501,1948,1336,1248,877,1169,1340,724
"Etfbkmt",265,171,144,136,114,242,175,111
"Etfbl",1725,1400,988,854,641,866,958,568
"Etfdh",1804,1115,1101,1040,926,823,892,709
"Etfrf1",626,588,340,335,327,558,590,362
"Ethe1",1864,1338,995,1023,1032,982,986,793
"Etl4",107,142,235,161,140,90,132,92
"Etnk1",3088,2612,1858,1799,1810,1644,1894,1050
"Etnk2",17,0,18,27,0,3,0,6
"Etohd2",1294,1105,609,741,588,990,879,458
"Etos1",55,23,8,10,1,3,7,0
"Ets1",635,550,488,630,781,534,463,471
"Ets2",23992,20150,9350,20470,16528,29338,22866,9504
"Etv1",305,245,360,298,182,416,411,502
"Etv3",4228,2459,2434,2639,1956,1808,2733,1024
"Etv4",112,78,90,98,61,21,88,32
"Etv5",2404,1512,1326,1775,1185,955,1072,926
"Etv6",6904,4765,3868,3932,3546,3071,3030,2008
"Eva1a",9,0,7,8,6,5,8,4
"Eva1b",1823,795,851,822,674,613,688,419
"Eva1c",51,46,31,35,38,9,30,19
"Evc",33,32,39,27,29,5,19,6
"Evc2",28,10,33,27,33,10,26,6
"Evi2",7349,6748,3933,4241,4560,7601,6143,4681
"Evi2a",8308,6785,4733,3706,4380,4441,4882,3629
"Evi2b",6055,5638,3131,3570,3679,6598,5266,3982
"Evi5",1275,1064,983,872,1024,1087,1258,760
"Evi5l",330,261,230,285,266,202,276,182
"Evl",4421,3474,2644,2812,3444,2348,2432,2037
"Evpl",24,15,28,37,24,2,29,1
"Ewsr1",10878,9008,6120,6537,5298,7070,6799,3462
"Exd1",41,18,7,14,5,17,9,5
"Exd2",662,439,341,374,357,272,454,217
"Exo1",147,116,104,79,61,64,55,38
"Exo5",565,453,416,306,244,219,291,234
"Exoc1",1603,1457,1093,1022,954,1025,1139,634
"Exoc2",1969,1413,1215,1173,1231,1155,1179,764
"Exoc3",2133,1889,1502,1496,1233,1437,1398,998
"Exoc3l",5,9,18,13,8,14,4,10
"Exoc3l2",23,34,54,25,20,8,10,2
"Exoc3l4",151,119,91,116,90,58,82,34
"Exoc4",2052,1769,1513,1186,1342,1479,1287,975
"Exoc5",2868,2264,1525,1848,1494,2116,1948,1129
"Exoc6",2234,1739,1262,1174,1553,1336,1432,990
"Exoc6b",846,768,827,679,605,444,615,439
"Exoc7",1357,1071,935,925,820,673,806,569
"Exoc8",900,756,501,451,453,362,449,402
"Exog",362,275,229,181,171,113,181,100
"Exosc1",921,569,441,444,350,476,470,382
"Exosc10",2413,1879,1609,1629,1377,1458,1246,948
"Exosc2",796,687,447,480,306,323,323,234
"Exosc3",2007,1092,818,835,583,1033,773,600
"Exosc4",657,480,398,472,298,336,358,224
"Exosc5",1442,891,653,670,512,754,638,381
"Exosc6",339,214,166,139,115,96,150,95
"Exosc7",853,460,423,368,238,434,354,179
"Exosc8",1708,1479,834,876,692,954,804,484
"Exosc9",1456,1118,774,748,579,774,678,570
"Ext1",2876,1925,1824,1735,1203,764,948,960
"Ext2",1508,1110,1432,1115,997,770,851,666
"Extl1",73,35,34,74,10,0,5,2
"Extl2",486,418,357,285,250,249,300,297
"Extl3",2123,2457,1760,1496,1737,983,1238,986
"Eya1",7,0,3,9,2,8,7,1
"Eya2",80,83,82,100,88,15,43,23
"Eya3",1755,1414,1252,1175,1162,958,988,677
"Eya4",54,75,42,55,19,29,28,20
"Ezh1",1698,1514,1211,1101,1255,1462,1246,696
"Ezh2",1262,1068,752,654,494,628,686,416
"Ezr",9274,6775,5227,7640,5433,6769,6011,3263
"F10",11696,6768,4983,8217,5050,5445,6056,2865
"F11r",2604,2300,1567,1764,1687,1281,1233,1022
"F12",8,10,2,4,2,3,13,0
"F13a1",18272,14766,23008,18971,11504,14509,17560,15357
"F2",2,0,6,5,1,0,3,0
"F2r",439,263,556,474,442,157,513,223
"F2rl1",129,57,137,106,95,8,82,48
"F2rl2",442,278,183,196,84,151,172,59
"F2rl3",10,5,5,10,5,14,3,0
"F3",829,600,507,925,612,810,793,328
"F420014N23Rik",138,118,86,92,90,148,104,50
"F5",4628,3756,3776,3470,4266,5347,7145,1868
"F530104D19Rik",22,8,9,12,10,8,6,1
"F630028O10Rik",1301,988,288,654,405,1750,982,540
"F630040K05Rik",32,9,7,21,8,29,20,6
"F7",2466,1386,1281,1628,820,1369,1588,714
"F730016J06Rik",148,169,149,110,156,221,440,108
"F730035M05Rik",7,24,7,14,14,16,34,25
"F730035P03Rik",2,3,4,2,0,0,6,0
"F730043M19Rik",274,205,77,133,76,186,141,59
"F730048M01Rik",4,4,0,2,0,2,4,3
"F730311O21Rik",51,77,41,32,57,56,123,34
"F8",15,9,10,13,11,4,11,6
"F830016B08Rik",14,30,14,20,73,4,51,45
"F830045P16Rik",5,3,0,8,4,31,8,3
"F830112A20Rik",15,1,4,6,5,1,4,3
"F830208F22Rik",220,233,132,153,190,298,388,106
"F8a",254,145,113,114,85,99,85,115
"F9",38,57,26,28,19,34,20,29
"F930017D23Rik",69,28,28,24,48,32,80,42
"Faah",27,30,30,16,41,15,44,20
"Faap100",907,553,490,611,318,430,482,282
"Faap20",1090,692,602,537,469,651,561,342
"Faap24",306,252,256,223,180,220,142,115
"Fabp1",12,6,3,3,0,7,4,0
"Fabp12",8,9,0,0,0,0,0,0
"Fabp3",14,5,16,12,11,14,18,4
"Fabp3-ps1",6,2,4,3,0,2,0,3
"Fabp4",559,780,586,507,244,277,501,194
"Fabp5",16302,8108,9857,8369,3395,3916,6968,2999
"Fabp5l2",3,0,5,4,5,2,6,0
"Fabp7",17,17,2,35,11,70,43,27
"Fadd",686,428,488,406,302,274,313,283
"Faddos",85,32,42,42,22,28,28,27
"Fads1",2615,2325,2528,1826,1914,1693,1596,1976
"Fads2",369,291,397,234,285,88,190,153
"Fads3",407,294,352,339,203,108,250,178
"Fads6",172,166,104,111,115,123,80,73
"Faf1",2010,1562,1170,1187,1055,1075,1050,719
"Faf2",2140,1710,1463,1347,1195,1465,1202,795
"Fah",79,49,67,49,46,19,55,65
"Fahd1",175,116,104,113,101,119,112,144
"Fahd2a",114,92,71,64,60,62,60,35
"Faim",1332,1031,697,730,654,514,643,596
"Faim2",15,0,6,2,4,0,14,0
"Faiml",0,0,0,2,0,4,2,4
"Fam102a",1323,1173,823,1050,1010,1421,1165,589
"Fam102b",1655,1616,1400,1148,1333,1463,1418,898
"Fam104a",1934,1344,961,1160,814,1209,1018,711
"Fam107a",0,14,1,3,2,3,2,19
"Fam107b",6980,4992,3007,5304,3782,4674,3978,2639
"Fam110a",1066,612,550,724,520,736,652,482
"Fam110b",136,123,125,91,85,79,74,85
"Fam110c",42,18,43,30,15,20,27,28
"Fam111a",6570,6984,3886,3788,4122,4942,4270,3671
"Fam114a1",717,613,645,642,410,309,581,293
"Fam114a2",2507,1965,1475,1456,975,1586,1589,878
"Fam117a",1037,926,632,712,739,596,638,419
"Fam117b",3084,2186,2044,1764,2026,1968,1969,1504
"Fam118a",444,268,228,291,171,338,251,186
"Fam118b",1018,747,562,551,522,484,552,336
"Fam120a",8172,5955,5298,4712,5146,6650,4995,5312
"Fam120b",1324,1094,872,798,790,1078,912,648
"Fam120c",62,55,54,58,52,65,27,28
"Fam122a",686,600,316,400,340,744,430,424
"Fam122b",292,259,191,182,206,267,221,186
"Fam124a",3,0,7,3,4,6,5,3
"Fam126a",1496,1052,1049,935,813,1026,1285,617
"Fam126b",240,289,242,180,215,418,242,194
"Fam129a",3818,3302,2922,2546,3164,2123,2176,1689
"Fam129b",5700,2852,3159,5120,2138,1652,2314,1152
"Fam129c",42,49,36,41,25,42,38,11
"Fam131a",154,162,136,100,64,66,47,33
"Fam131b",2,2,4,4,5,7,1,3
"Fam133b",1393,1308,652,754,466,1213,1216,537
"Fam135a",87,56,88,122,90,80,94,51
"Fam136a",854,570,477,518,262,276,350,338
"Fam13a",15,17,18,52,18,52,30,37
"Fam13b",1023,1150,810,890,1018,1057,1362,470
"Fam13c",16,6,28,15,7,6,6,6
"Fam149a",312,224,284,274,230,83,160,138
"Fam149b",739,609,524,442,377,560,576,346
"Fam151a",56,43,35,39,32,22,21,12
"Fam151b",208,186,123,130,133,223,186,133
"Fam160a1",19,29,31,16,25,21,35,7
"Fam160a2",483,532,382,430,410,521,762,274
"Fam160b1",1339,1060,734,841,830,948,870,659
"Fam160b2",1064,1029,636,690,626,962,933,409
"Fam161a",55,44,41,30,46,46,50,21
"Fam161b",29,4,25,26,16,22,32,0
"Fam162a",2253,1180,1056,1712,824,1308,1146,474
"Fam163a",0,4,11,6,4,0,4,3
"Fam166a",161,116,94,110,56,87,105,59
"Fam166b",4,2,2,3,4,2,4,0
"Fam167a",48,23,25,27,32,44,37,7
"Fam167b",91,52,99,72,31,42,47,52
"Fam168a",1719,1665,1368,1316,1466,1268,1264,891
"Fam168b",6955,5622,4592,4631,4432,4340,4294,2669
"Fam169a",314,282,201,158,185,211,193,237
"Fam169b",279,155,157,255,116,131,276,76
"Fam170b",56,62,9,38,28,22,18,14
"Fam171a1",96,105,103,89,66,34,63,54
"Fam171a2",7,8,32,40,17,2,19,1
"Fam171b",11,16,25,18,6,1,11,5
"Fam172a",1496,1092,1042,804,855,836,934,701
"Fam173a",606,366,401,373,304,225,351,174
"Fam174a",1605,1390,1022,772,1027,988,1047,959
"Fam174b",68,66,77,58,54,20,53,42
"Fam177a",1648,992,873,1105,564,810,534,567
"Fam178b",0,2,3,14,0,2,1,0
"Fam180a",3,0,10,22,0,0,0,4
"Fam181b",0,2,4,0,0,3,4,2
"Fam184a",0,0,4,0,1,0,0,3
"Fam184b",10,0,1,2,2,16,6,1
"Fam185a",147,91,67,72,53,66,63,52
"Fam186b",0,0,1,0,2,8,6,0
"Fam187b",35,31,36,57,45,47,23,32
"Fam189a2",12,17,12,14,9,12,6,4
"Fam189b",174,165,201,187,244,134,143,124
"Fam192a",2926,2228,1503,1439,1357,1904,1538,1044
"Fam193a",1945,1507,1248,1125,1112,1641,1295,883
"Fam193b",1223,1055,498,714,560,1341,1360,363
"Fam199x",265,270,136,190,168,252,224,138
"Fam204a",628,455,332,410,292,430,408,314
"Fam205a2",3,1,4,4,1,0,1,1
"Fam207a",1156,862,606,595,590,500,550,411
"Fam209",12,6,1,3,13,10,34,4
"Fam20a",190,88,180,224,82,133,139,111
"Fam20b",2331,1774,1660,1552,1544,1283,1348,978
"Fam20c",4878,3164,2830,3451,2207,2710,2294,1456
"Fam210a",892,628,603,464,517,536,490,369
"Fam210b",491,423,424,341,326,410,361,365
"Fam214a",123,217,152,105,158,195,130,124
"Fam214b",1490,907,936,1068,790,799,892,532
"Fam216a",243,136,132,110,93,120,106,95
"Fam217b",2554,1970,1011,1352,1061,1812,1429,945
"Fam219a",664,518,542,446,451,494,488,332
"Fam219aos",82,28,57,50,41,44,45,26
"Fam219b",1080,890,616,629,417,447,512,302
"Fam220-ps",36,25,29,28,19,24,23,16
"Fam220a",1205,788,581,646,504,692,648,439
"Fam221a",45,19,26,29,19,41,29,22
"Fam221b",3142,1869,1520,1564,1181,1346,1627,956
"Fam222a",40,42,31,22,28,14,21,18
"Fam222b",811,655,504,528,533,597,603,405
"Fam227a",20,9,17,12,9,34,21,9
"Fam227b",13,8,10,7,5,24,15,16
"Fam228a",82,46,38,30,50,52,56,18
"Fam228b",5,0,2,8,3,3,0,3
"Fam229b",28,13,16,26,12,3,8,25
"Fam234a",2828,2420,2921,2134,2524,1757,1802,1672
"Fam234b",1275,659,672,564,578,584,536,501
"Fam241a",1217,834,539,583,638,522,559,426
"Fam241b",7,0,13,6,12,4,4,0
"Fam32a",6491,4781,3210,3960,3100,4164,4035,2501
"Fam3a",1006,650,693,611,530,531,490,411
"Fam3b",9,8,20,10,5,13,7,0
"Fam3c",2604,2066,1784,1525,1443,1961,1315,1110
"Fam43a",677,522,717,414,653,556,873,411
"Fam45a",1299,1077,809,836,696,1102,762,724
"Fam49a",1952,1463,1195,1117,1176,1078,921,732
"Fam49b",26238,19996,11814,13183,12163,17802,15252,12370
"Fam50a",3667,2842,1881,2137,1557,2027,1824,1226
"Fam53a",859,661,448,476,401,397,512,318
"Fam53b",998,1014,1020,666,956,648,748,685
"Fam53c",1473,1118,891,914,982,888,920,500
"Fam57a",349,229,207,180,126,137,135,142
"Fam57b",1834,1182,1042,1573,1163,1190,1105,544
"Fam71a",26,27,44,83,88,104,199,27
"Fam71e1",15,1,15,1,12,8,19,10
"Fam71f2",78,29,34,74,75,240,199,41
"Fam72a",96,99,67,34,75,40,78,62
"Fam76a",1414,1263,892,1065,1012,1424,1296,703
"Fam76b",945,963,612,606,596,883,716,473
"Fam78a",1068,913,813,529,754,394,530,482
"Fam78b",514,275,271,388,194,158,153,138
"Fam81a",0,8,7,16,7,6,1,7
"Fam83a",2,0,6,6,5,4,9,0
"Fam83b",0,2,4,2,1,0,0,3
"Fam83c",2,10,4,3,3,0,0,0
"Fam83d",24,69,30,34,23,24,47,29
"Fam83e",5,4,12,9,5,3,9,3
"Fam83f",38,65,50,46,47,14,15,5
"Fam83g",32,24,36,40,28,0,8,12
"Fam83h",68,11,43,45,33,1,17,12
"Fam89a",39,11,16,29,4,13,9,12
"Fam89b",1583,1052,912,807,842,792,835,815
"Fam8a1",937,694,420,554,435,616,474,460
"Fam91a1",3348,2261,2200,1885,1907,2120,1934,1467
"Fam92a",194,144,130,155,82,110,163,132
"Fam98a",1332,902,754,624,567,704,649,462
"Fam98b",1423,1247,751,754,664,893,660,576
"Fam98c",896,648,415,500,396,620,639,250
"Fan1",40,81,52,42,56,13,35,35
"Fanca",557,516,361,289,417,378,587,204
"Fancb",111,121,56,49,46,60,56,12
"Fancc",239,175,141,134,90,90,121,81
"Fancd2",101,71,83,128,88,66,56,37
"Fancd2os",4,3,3,2,6,5,4,1
"Fance",402,292,309,259,237,188,244,196
"Fancf",145,78,56,87,42,72,58,36
"Fancg",477,352,325,317,250,359,344,217
"Fanci",462,391,241,298,228,259,320,206
"Fancl",698,446,348,370,249,280,368,222
"Fancm",175,180,138,136,116,71,130,37
"Fap",131,154,107,72,51,98,117,55
"Far1",4620,3288,2594,2200,2013,3040,2859,1914
"Far1os",60,36,38,35,50,16,35,6
"Far2",946,662,375,418,314,788,602,358
"Farp1",267,219,303,259,248,55,218,91
"Farp2",104,92,78,65,92,114,92,32
"Fars2",716,530,488,454,374,307,359,262
"Farsa",2198,1274,1186,1186,936,1003,906,696
"Farsb",2334,1489,1322,1256,893,1001,829,842
"Fas",929,689,574,656,547,781,980,486
"Fasl",6,0,0,5,17,3,7,11
"Fasn",1822,1001,1178,994,996,454,604,480
"Fastk",1703,1139,881,1043,780,878,995,668
"Fastkd1",265,218,146,139,157,148,148,99
"Fastkd2",818,534,393,292,239,369,437,246
"Fastkd3",335,236,126,214,116,124,123,119
"Fastkd5",289,235,190,164,151,162,134,99
"Fat1",350,268,450,442,532,65,244,193
"Fat3",1,0,6,6,1,0,4,5
"Fat4",7,6,25,10,2,6,3,12
"Fau",28751,20019,14232,15002,12267,15704,18078,8381
"Fau-ps2",5,0,0,0,1,0,6,0
"Faxc",0,11,5,6,6,0,4,0
"Fbf1",383,464,348,308,336,286,309,173
"Fbh1",2804,2491,2139,1863,2045,1705,1948,1293
"Fbl",5108,3450,2580,2478,1772,1998,2229,1518
"Fblim1",1007,797,1031,1177,874,796,820,800
"Fbln1",131,121,345,208,110,24,139,81
"Fbln2",1724,961,2815,2081,1357,221,1540,568
"Fbln5",45,46,67,58,32,35,29,14
"Fbln7",3,9,24,2,2,6,10,0
"Fbn1",720,551,1894,906,1212,111,838,482
"Fbn2",214,120,299,196,146,30,151,82
"Fbp1",7,0,8,6,5,31,12,0
"Fbp2",11,1,7,15,1,15,16,1
"Fbrs",5101,4770,3132,3354,3368,3784,3645,2175
"Fbrsl1",1352,1025,896,910,784,796,863,490
"Fbxl12",426,390,217,258,239,404,384,118
"Fbxl12os",33,24,20,14,3,20,19,12
"Fbxl13",0,0,6,9,4,0,2,1
"Fbxl14",2172,2062,1251,1360,1292,1928,1329,1074
"Fbxl15",185,74,96,89,104,66,46,48
"Fbxl16",6,6,8,8,5,3,5,3
"Fbxl17",903,647,593,498,570,514,538,354
"Fbxl18",348,280,248,206,206,249,257,113
"Fbxl19",754,655,582,483,583,422,500,279
"Fbxl2",480,380,192,223,157,335,460,188
"Fbxl20",2399,2192,1550,1556,1858,2586,2536,1115
"Fbxl21",10,3,6,3,6,10,3,1
"Fbxl22",228,139,80,96,97,227,220,90
"Fbxl3",1608,1597,982,1096,1064,1446,1839,751
"Fbxl4",295,269,249,197,197,163,227,156
"Fbxl5",5890,6672,3540,4939,4858,9440,9001,3228
"Fbxl6",1101,774,652,629,552,696,633,315
"Fbxl7",15,0,7,10,0,3,6,9
"Fbxl8",200,168,98,143,123,81,129,61
"Fbxo10",155,133,167,111,119,133,82,76
"Fbxo11",2974,2400,1640,1891,1666,2443,2865,1233
"Fbxo16",0,0,6,0,1,4,0,0
"Fbxo17",15,6,16,14,15,4,32,10
"Fbxo2",4,2,3,26,5,0,5,0
"Fbxo21",497,331,380,299,290,218,203,154
"Fbxo22",1535,1082,856,814,752,991,982,814
"Fbxo24",5,18,4,6,13,24,16,12
"Fbxo25",362,389,338,302,266,280,264,182
"Fbxo27",3,2,5,3,3,0,4,0
"Fbxo28",2225,1638,1171,1402,1028,1230,1044,634
"Fbxo3",1690,1375,1039,901,934,1123,1144,860
"Fbxo30",356,320,227,308,311,281,364,215
"Fbxo31",629,545,341,467,415,387,364,236
"Fbxo32",298,231,178,263,328,570,278,104
"Fbxo33",1266,1125,874,729,652,1026,1094,580
"Fbxo34",763,586,466,456,431,428,389,294
"Fbxo36",49,28,40,22,23,29,19,13
"Fbxo38",2417,1911,1567,1667,1732,1695,1741,894
"Fbxo39",3,0,1,0,5,0,4,11
"Fbxo4",374,448,321,316,239,235,340,214
"Fbxo40",4,8,6,1,8,6,5,15
"Fbxo42",1572,1206,914,1044,1060,815,883,629
"Fbxo44",38,29,22,22,33,8,20,22
"Fbxo45",910,636,436,449,434,400,400,293
"Fbxo46",689,450,429,322,340,366,280,224
"Fbxo47",16,3,6,2,6,12,9,7
"Fbxo48",59,23,17,16,12,22,45,14
"Fbxo5",249,211,148,108,90,123,96,95
"Fbxo6",1366,909,838,823,766,532,760,563
"Fbxo7",1195,910,749,714,706,676,658,438
"Fbxo8",715,470,392,404,326,496,379,343
"Fbxo9",848,666,533,467,462,661,721,362
"Fbxw10",45,24,23,6,36,12,41,14
"Fbxw11",2902,2182,1758,2150,1816,1953,1874,1088
"Fbxw17",375,355,241,270,315,208,280,134
"Fbxw2",2818,2046,1524,1538,1374,1617,1837,1278
"Fbxw4",600,526,564,412,460,423,468,278
"Fbxw5",1129,747,758,769,731,596,714,438
"Fbxw7",1154,895,615,757,621,1050,947,467
"Fbxw8",1358,928,1002,1048,802,692,708,504
"Fbxw9",272,168,173,208,122,130,138,77
"Fcer1a",2,9,0,20,6,0,0,2
"Fcer1g",50674,35986,24010,26111,19565,26551,23191,22091
"Fcer2a",6,22,2,8,3,2,3,43
"Fcf1",2222,1434,968,1022,682,992,1025,614
"Fcgbp",0,2,2,4,1,0,0,0
"Fcgr1",19873,16057,11356,11996,8868,4134,6374,5000
"Fcgr2b",74233,46292,51664,40748,39950,33105,40371,41006
"Fcgr3",73400,47610,41362,44393,35886,36045,40413,32233
"Fcgr4",9806,11428,5915,5818,9471,3378,5678,4850
"Fcgrt",8048,4865,10608,5317,4885,4978,5597,6356
"Fcho1",605,476,318,377,499,297,490,240
"Fcho2",4456,3823,2966,2254,2710,4030,4452,2667
"Fchsd1",438,389,257,364,258,268,330,150
"Fchsd2",1762,1472,1317,1102,1122,1384,1398,842
"Fcmr",0,6,8,26,16,0,4,35
"Fcna",2124,680,2664,2046,714,1908,1653,1616
"Fcnaos",284,92,364,248,98,276,268,239
"Fcnb",16,8,4,4,9,16,21,2
"Fcor",117,21,51,55,37,70,81,26
"Fcrl1",98,148,38,69,61,134,60,25
"Fcrl5",0,14,0,0,5,0,0,9
"Fcrl6",10,0,0,0,1,0,0,0
"Fcrla",55,66,72,53,45,52,54,55
"Fcrlb",1681,601,742,1199,317,472,692,252
"Fcrls",7214,5504,10580,7722,1554,3950,3401,4679
"Fcsk",273,160,162,160,169,93,170,79
"Fdft1",2057,1136,1482,1153,906,921,937,832
"Fdps",947,334,459,455,319,241,368,228
"Fdx1",266,198,179,127,107,138,126,109
"Fdx2",282,208,196,168,124,137,142,84
"Fdxacb1",191,134,122,108,72,106,80,92
"Fdxr",620,403,276,318,205,247,318,182
"Fech",1159,932,868,744,769,696,830,810
"Fem1a",1613,1064,978,748,794,805,702,519
"Fem1b",1896,1330,1249,1125,1040,917,988,750
"Fem1c",7358,4731,3252,4766,3586,5628,6681,3011
"Fen1",764,520,426,364,343,294,329,214
"Fer",1391,1135,984,856,886,1324,1651,602
"Fer1l5",200,168,166,96,158,119,128,63
"Fer1l6",3,16,9,10,11,3,28,0
"Fermt1",135,109,171,174,118,8,87,58
"Fermt2",227,231,293,306,162,70,193,153
"Fermt3",12130,9204,7238,7143,6940,6110,7178,4436
"Fes",11503,9674,6027,6762,6453,7333,8781,3782
